ID,date,month,weekday,hour,count,WEATHER_CODE
100,2016-05-12,5,Thursday,Afternoon,1,Cloudy
100,2016-05-13,5,Friday,Afternoon,1,Raining
100,2016-05-15,5,Sunday,Evening,2,Clear
100,2016-05-16,5,Monday,Evening,1,Clear
100,2016-05-17,5,Tuesday,Evening,1,Raining
100,2016-05-19,5,Thursday,Afternoon,1,Not Applicable
100,2016-05-19,5,Thursday,Evening,1,Clear
100,2016-05-20,5,Friday,Afternoon,2,Clear
100,2016-05-21,5,Saturday,Evening,1,Raining
100,2016-05-22,5,Sunday,Afternoon,1,Raining
100,2016-05-28,5,Saturday,Evening,1,Clear
100,2016-05-30,5,Monday,Night,1,Raining
100,2016-06-01,6,Wednesday,Morning,2,Clear
100,2016-06-02,6,Thursday,Morning,1,Clear
100,2016-06-04,6,Saturday,Evening,1,Not Applicable
100,2016-06-05,6,Sunday,Afternoon,1,Clear
100,2016-06-07,6,Tuesday,Morning,1,Clear
100,2016-06-07,6,Tuesday,Night,1,Clear
100,2016-06-08,6,Wednesday,Morning,1,Raining
100,2016-06-10,6,Friday,Afternoon,1,Clear
100,2016-06-12,6,Sunday,Evening,1,Clear
100,2016-06-13,6,Monday,Evening,2,Clear
100,2016-06-14,6,Tuesday,Morning,1,Clear
100,2016-06-17,6,Friday,Afternoon,1,Clear
100,2016-06-21,6,Tuesday,Night,1,Clear
100,2016-06-22,6,Wednesday,Evening,1,Clear
100,2016-06-24,6,Friday,Afternoon,1,Raining
100,2016-06-24,6,Friday,Evening,3,Raining
100,2016-06-24,6,Friday,Night,1,Clear
100,2016-06-25,6,Saturday,Afternoon,1,Not Applicable
100,2016-06-26,6,Sunday,Afternoon,1,Not Applicable
100,2016-06-27,6,Monday,Morning,1,Clear
100,2016-06-28,6,Tuesday,Evening,1,Raining
100,2016-07-01,7,Friday,Night,1,Clear
100,2016-07-02,7,Saturday,Afternoon,1,Clear
100,2016-07-02,7,Saturday,Night,1,Clear
